tratamento,tempo_dias,media,SE,df,ic_inf,ic_sup
controle,30,0.603292548666128,NA,Inf,NA,NA
dose_baixa,30,0.44450367500930077,NA,Inf,NA,NA
dose_media,30,0.2955098280650035,NA,Inf,NA,NA
dose_alta,30,0.1589970166182446,NA,Inf,NA,NA
controle,60,0.4726356570789886,NA,Inf,NA,NA
dose_baixa,60,0.37675570264326,NA,Inf,NA,NA
dose_media,60,0.24246114251341946,NA,Inf,NA,NA
dose_alta,60,0.11027566331548133,NA,Inf,NA,NA
controle,90,0.375030432442587,NA,Inf,NA,NA
dose_baixa,90,0.2482376181628264,NA,Inf,NA,NA
dose_media,90,0.1572287474675811,NA,Inf,NA,NA
dose_alta,90,0.08829181845886884,NA,Inf,NA,NA
